Isim Soyisim;Þehir;Sehir Yas Ortalamasi;Bölge;Parti;Doðum Yýlý;Milletvekili Yas;Doðum Yeri;Ýþ Alanlarý;Siyasete Baþladýðý Parti;Evli;Çocuk;Üniversite;Bölüm;En Yüksek Eðitim;Diller;;Cinsiyet;;;;;;;;;;;
Rýdvan TURAN;MERSÝN;;Akdeniz;HDP;1971;49;Tokat;Doktor;HDP;Evli;1;Uludað;Týp;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Zeki Hakan SIDALI;MERSÝN;;Akdeniz;ÝYÝ Parti;1969;51;Ýstanbul;Ýþinsaný;ÝYÝ;Evli;1;Boðaziçi;Ýþletme;Lisans;Almanca, Ýngilizce, Ýspanyolca, Ýtalyanca;;Erkek;;;;;;;;;;;
Zeynep GÜL YILMAZ;MERSÝN;;Akdeniz;AK Parti;1976;44;Mersin;Avukat;AKP;Evli;2;Ankara;Hukuk;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Burak ERBAY;MUÐLA;;Ege;CHP;1978;42;Muðla;Avukat;CHP;Evli;1;Yeditepe;Hukuk;Lisans;Almanca, Ýngilizce;;Erkek;;;;;;;;;;;
Mehmet Yavuz DEMÝR;MUÐLA;;Ege;AK Parti;1953;67;Muðla;Bürokrat;DYP;Evli;2;Ankara;DTCF;Lisans;Almanca;;Erkek;;;;;;;;;;;
Metin ERGUN;MUÐLA;;Ege;ÝYÝ Parti;1963;57;Muðla;Akademisyen;ÝYÝ;Evli;2;Atatürk;Türk Dili ve Edebiyatý;Doktora;Farsça, Ýngilizce, Rusça;;Erkek;;;;;;;;;;;
Mürsel ALBAN;MUÐLA;;Ege;CHP;1970;50;Erzurum;Ýþinsaný;CHP;Evli;3;0;0;Ortaokul;0;;Erkek;;;;;;;;;;;
Suat ÖZCAN;MUÐLA;;Ege;CHP;1960;60;Muðla;Öðretmen;CHP;Evli;2;Anadolu;Ýktisat;Lisans;0;;Erkek;;;;;;;;;;;
Süleyman GÝRGÝN;MUÐLA;;Ege;CHP;1962;58;Muðla;Sendikacý;CHP;Evli;2;Anadolu;Ýþletme;Yükseklisans;0;;Erkek;;;;;;;;;;;
Yelda EROL GÖKCAN;MUÐLA;;Ege;AK Parti;1976;44;Tekirdað;Ýþinsaný;AKP;Evli;1;Anadolu;Kamu Yönetimi;Yükseklisans;0;;Kadýn;;;;;;;;;;;
Gülüstan KILIÇ KOÇYÝÐÝT;MUÞ;;Doðu Anadolu;HDP;1979;41;Tunceli;Hemþire;HDP;Evli;2;Dokuz Eylül;Adalet MYO;Önlisans;0;;Kadýn;;;;;;;;;;;
Mehmet Emin ÞÝMÞEK;MUÞ;;Doðu Anadolu;AK Parti;1964;56;Muþ;Mühendis;AKP;Evli;2;Fýrat;Ýnþaat Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mensur IÞIK;MUÞ;;Doðu Anadolu;BAÐIMSIZ;1975;45;Muþ;Avukat;HDP;Evli;2;Dicle;Hukuk;Lisans;0;;Erkek;;;;;;;;;;;
Þevin COÞKUN;MUÞ;;Doðu Anadolu;HDP;1980;40;Muþ;Gazeteci;HDP;?;?;Yakýndoðu;Gazetecilik;Lisans;0;;Kadýn;;;;;;;;;;;
Faruk SARIASLAN;NEVÞEHÝR;;Ýç Anadolu;CHP;1953;67;Nevþehir;Avukat;CHP;Evli;2;Ankara;Hukuk;Lisans;0;;Erkek;;;;;;;;;;;
Mustafa AÇIKGÖZ;NEVÞEHÝR;;Ýç Anadolu;AK Parti;1971;49;Nevþehir;Eczacý;AKP;Evli;2;Anadolu;Eczacýlýk;Lisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Yücel MENEKÞE;NEVÞEHÝR;;Ýç Anadolu;AK Parti;1963;57;Nevþehir;Ýþinsaný;AKP;Evli;3;Anadolu;ÝÝBF;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ömer Fethi GÜRER;NÝÐDE;;Ýç Anadolu;CHP;1957;63;Niðde;Sendikacý;SODEP;Evli;2;Çukurova;Endüstri Mühendisliði;Lisans;0;;Erkek;;;;;;;;;;;
Selim GÜLTEKÝN;NÝÐDE;;Ýç Anadolu;AK Parti;1979;41;Niðde;Eczacý;AKP;Evli;1;Anadolu;Eczacýlýk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Yavuz ERGUN;NÝÐDE;;Ýç Anadolu;AK Parti;1974;46;Niðde;Ýþinsaný;AKP;Evli;3;Ýnönü;Kimya Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Cemal ENGÝNYURT;ORDU;;Karadeniz;DP;1965;55;Ordu;Siyasetçi;MÇP;Evli;2;Anadolu;Ýktisat;Lisans;0;;Erkek;;;;;;;;;;;
Ergün TAÞCI;ORDU;;Karadeniz;AK Parti;1974;46;Ordu;Avukat;AKP;Evli;2;Ankara;Ýlahiyat;Yükseklisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Metin GÜNDOÐDU;ORDU;;Karadeniz;AK Parti;1973;47;Ordu;Ýþinsaný;BBP;Evli;3;Anadolu;Ýþletme;Lisans;0;;Erkek;;;;;;;;;;;
Mustafa ADIGÜZEL;ORDU;;Karadeniz;CHP;1967;53;Ordu;Doktor;CHP;Evli;2;Ýstanbul Üniversitesi;Eczacýlýk;Yükseklisans;0;;Erkek;;;;;;;;;;;
Seyit TORUN;ORDU;;Karadeniz;CHP;1968;52;Ordu;Siyasetçi;CHP;Evli;1;Atatürk;Ýktisat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Þenel YEDÝYILDIZ;ORDU;;Karadeniz;AK Parti;1953;67;Samsun;Doktor;AKP;Evli;2;Atatürk;Týp;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Baha ÜNLÜ;OSMANÝYE;;Akdeniz;CHP;1955;65;Osmaniye;Bürokrat;CHP;Evli;2;ÝTÜ;Elektrik Elektronik Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Devlet BAHÇELÝ;OSMANÝYE;;Akdeniz;MHP;1948;72;Osmaniye;Akademisyen;MÇP;Bekar;0;Ankara;Dýþ Ticaret;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Ýsmail KAYA;OSMANÝYE;;Akdeniz;AK Parti;1983;37;Osmaniye;Ýþinsaný;AKP;Evli;2;Ýnönü;Ýktisat;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mücahit DURMUÞOÐLU;OSMANÝYE;;Akdeniz;AK Parti;1965;55;Osmaniye;Bürokrat;AKP;Evli;3;Anadolu;Ýþletme;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Hayati YAZICI;RÝZE;;Karadeniz;AK Parti;1952;68;Rize;Avukat;AKP;Evli;2;Ýstanbul Üniversitesi;Hukuk;Yükseklisans;0;;Erkek;;;;;;;;;;;
Muhammed AVCI;RÝZE;;Karadeniz;AK Parti;1980;40;Rize;Ýþinsaný;AKP;Evli;1;Celal Bayar;Tarih;Lisans;0;;Erkek;;;;;;;;;;;
Osman Aþkýn BAK;RÝZE;;Karadeniz;AK Parti;1966;54;Ýstanbul;Mühendis;AKP;Evli;4;ÝTÜ;Makine Mühendisliði;Yükseklisans;Almanca, Farsça, Ýngilizce;;Erkek;;;;;;;;;;;
Ali Ýhsan YAVUZ;SAKARYA;;Marmara;AK Parti;1969;51;Trabzon;Avukat;AKP;Evli;4;Ýstanbul Üniversitesi;Hukuk;Lisans;0;;Erkek;;;;;;;;;;;
Çiðdem ERDOÐAN ATABEK;SAKARYA;;Marmara;AK Parti;1981;39;Ýstanbul;Öðretmen;AKP;Evli;2;Abant Ýzzet Baysal;Fizik ve Ýngilizce Öðretmenliði;Yükseklisans;Almanca, Ýngilizce;;Kadýn;;;;;;;;;;;
Engin ÖZKOÇ;SAKARYA;;Marmara;CHP;1962;58;Sakarya;Ýþinsaný;CHP;Bekar;0;Anadolu;Ýþletme;Lisans;0;;Erkek;;;;;;;;;;;
Kenan SOFUOÐLU;SAKARYA;;Marmara;AK Parti;1984;36;Sakarya;Sporcu;AKP;Evli;1;0;0;.;Almanca, Ýngilizce;;Erkek;;;;;;;;;;;
Muhammed Levent BÜLBÜL;SAKARYA;;Marmara;MHP;1980;40;Sakarya;Avukat;MHP;Evli;1;Çankaya;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Recep UNCUOÐLU;SAKARYA;;Marmara;AK Parti;1970;50;Sakarya;Mühendis;AKP;Evli;2;Ýstanbul Üniversitesi;Ýnþaat Mühendisliði;Yükseklisans;0;;Erkek;;;;;;;;;;;
Ümit DÝKBAYIR;SAKARYA;;Marmara;ÝYÝ Parti;1968;52;Sakarya;Ýþinsaný;ÝYÝ;Evli;2;0;0;Lise;0;;Erkek;;;;;;;;;;;
Ahmet DEMÝRCAN;SAMSUN;;Karadeniz;AK Parti;1954;66;Samsun;Doktor;AKP;Evli;6;Atatürk;Týp;Yükseklisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Bedri YAÞAR;SAMSUN;;Karadeniz;ÝYÝ Parti;1963;57;Gümüþhane;Ýþinsaný;MHP;Evli;4;Gazi ;Mimarlýk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Çiðdem KARAASLAN;SAMSUN;;Karadeniz;AK Parti;1979;41;Ýstanbul;Mimar;AKP;Evli;2;Bilkent;Peyzaj Mimarlýðý;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Erhan USTA;SAMSUN;;Karadeniz;ÝYÝ Parti;1966;54;Samsun;Bürokrat;MHP;Evli;3;Ankara;Maliye;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Fuat KÖKTAÞ;SAMSUN;;Karadeniz;AK Parti;1964;56;Trabzon;Ýþinsaný;AKP;Evli;3;0;0;Lise;0;;Erkek;;;;;;;;;;;
Kemal ZEYBEK;SAMSUN;;Karadeniz;CHP;1962;58;Samsun;Ýþinsaný;CHP;Evli;3;0;0;Lise;0;;Erkek;;;;;;;;;;;
Neslihan HANCIOÐLU;SAMSUN;;Karadeniz;CHP;1963;57;Ordu;Ýþletmeci;CHP;Evli;2;Anadolu;Ýktisat;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Orhan KIRCALI;SAMSUN;;Karadeniz;AK Parti;1968;52;Samsun;Avukat;AKP;Evli;3;Ankara;Hukuk;Lisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Yusuf Ziya YILMAZ;SAMSUN;;Karadeniz;AK Parti;1951;69;Samsun;Mühendis;ANAP;Evli;0;Yýldýz Teknik;Mühendislik;Lisans;0;;Erkek;;;;;;;;;;;
Meral DANIÞ BEÞTAÞ;SÝÝRT;;Güneydoðu Anadolu;HDP;1967;53;Mardin;Avukat;HDP;Evli;2;Dicle;Hukuk;Lisans;Ýngilizce, Kürtçe;;Kadýn;;;;;;;;;;;
Osman ÖREN;SÝÝRT;;Güneydoðu Anadolu;AK Parti;1966;54;Siirt;Öðretmen;AKP;Evli;3;Hacettepe;Tarih;Lisans;Arapça;;Erkek;;;;;;;;;;;
Sýdýk TAÞ;SÝÝRT;;Güneydoðu Anadolu;HDP;1970;50;Siirt;Siyasetçi;BDP;Evli;4;0;0;Ýlköðretim;Kürtçe;;Erkek;;;;;;;;;;;
Barýþ KARADENÝZ;SÝNOP;;Karadeniz;CHP;1975;45;Sinop;Sivil Toplum Yöneticisi;CHP;Evli;0;Sýtký Koçman;Ýktisat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Nazým MAVÝÞ;SÝNOP;;Karadeniz;AK Parti;1971;49;Sinop;Ýþinsaný;AKP;Evli;3;Gazi;Kamu Yönetimi;Doktora;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet ÖZYÜREK;SÝVAS;;Ýç Anadolu;MHP;1964;56;Sivas;Ýþinsaný;MHP;Evli;2;0;0;Lise;0;;Erkek;;;;;;;;;;;
Ýsmet YILMAZ;SÝVAS;;Ýç Anadolu;AK Parti;1961;59;Sivas;Bürokrat;AKP;Evli;3;ÝTÜ;Denizcilik;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mehmet Habib SOLUK;SÝVAS;;Ýç Anadolu;AK Parti;1950;70;Sivas;Bürokrat;AKP;Evli;3;YTÜ;Makine Mühendisliði;Lisans;Fransýzca;;Erkek;;;;;;;;;;;
Semiha EKÝNCÝ;SÝVAS;;Ýç Anadolu;AK Parti;1972;48;Sivas;Siyasetçi;AKP;Bekar;0;Anadolu;Ýþletme;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Ulaþ KARASU;SÝVAS;;Ýç Anadolu;CHP;1980;40;Sivas;Mühendis;CHP;Evli;0;Çukurova;Ýnþaat Mühendisliði;Lisans;0;;Erkek;;;;;;;;;;;
Ahmet AKAY;ÞANLIURFA;;Güneydoðu Anadolu;AK Parti;1959;61;Þanlýurfa;Öðretmen;ANAP;Evli;8;Ankara;Eðitim Fakültesi;Lisans;Arapça;;Erkek;;;;;;;;;;;
Ahmet Eþref FAKIBABA;ÞANLIURFA;;Güneydoðu Anadolu;AK Parti;1951;69;Þanlýurfa;Doktor;AKP;Evli ;3;Atatürk;Týp;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ayþe SÜRÜCÜ;ÞANLIURFA;;Güneydoðu Anadolu;HDP;1983;37;Þanlýurfa;Siyasetçi;HDP;Bekar;0;0;0;Lise;Kürtçe;;Kadýn;;;;;;;;;;;
Aziz AYDINLIK;ÞANLIURFA;;Güneydoðu Anadolu;CHP;1960;60;Þanlýurfa;Ýþinsaný;HDP;Evli;5;0;0;Ýlköðretim;0;;Erkek;;;;;;;;;;;
Halil ÖZCAN;ÞANLIURFA;;Güneydoðu Anadolu;AK Parti;1964;56;Þanlýurfa;Akademisyen;AKP;Evli;6;Suudi Arabistan Kral Suud Üniversitesi;Ýlahiyat;Doktora;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Halil ÖZÞAVLI;ÞANLIURFA;;Güneydoðu Anadolu;AK Parti;1981;39;Þanlýurfa;Akademisyen;AKP;Evli;3;Ýnönü;Eðitim Fakültesi;Doktora;Arapça, Ermenice, Ýngilizce;;Erkek;;;;;;;;;;;
Ýbrahim ÖZYAVUZ;ÞANLIURFA;;Güneydoðu Anadolu;MHP;1963;57;Þanlýurfa;Ýþinsaný;MHP;Evli;?;0;0;Lise;0;;Erkek;;;;;;;;;;;
Ýbrahim Halil YILDIZ;ÞANLIURFA;;Güneydoðu Anadolu;AK Parti;1976;44;Þanlýurfa;Avukat;AKP;Evli;3;Doðu Akdeniz;Hukuk;Lisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Mehmet Ali CEVHERÝ;ÞANLIURFA;;Güneydoðu Anadolu;AK Parti;1961;59;Þanlýurfa;Muhasebeci;AKP;Evli;3;Uludað;Maliye;Yükseklisans;Ýngilizce, Kürtçe;;Erkek;;;;;;;;;;;
Mehmet Kasým GÜLPINAR;ÞANLIURFA;;Güneydoðu Anadolu;AK Parti;1969;51;Þanlýurfa;Bürokrat;AKP;Evli;3;Ankara;Arap Dili ve Edebiyatý;Lisans;Arapça, Farsça, Fransýzca, Ýngilizce, Kürtçe;;Erkek;;;;;;;;;;;
Nimetullah ERDOÐMUÞ;ÞANLIURFA;;Güneydoðu Anadolu;HDP;1960;60;Bingöl;Din adamý;HDP;Evli;5;Atatürk;Ýlahiyat;Lisans;Arapça;;Erkek;;;;;;;;;;;
Nusrettin MAÇÝN;ÞANLIURFA;;Güneydoðu Anadolu;HDP;1963;57;Diyarbakýr;Siyasetçi;ÖSP;?;?;0;0;Lise;0;;Erkek;;;;;;;;;;;
Ömer ÖCALAN;ÞANLIURFA;;Güneydoðu Anadolu;HDP;1987;33;Þanlýurfa;Siyasetçi;HDP;Evli;2;Ankara;Gazetecilik;Lisans;Kürtçe;;Erkek;;;;;;;;;;;
Zemzem Gülender AÇANAL;ÞANLIURFA;;Güneydoðu Anadolu;AK Parti;1957;63;Þanlýurfa;Eczacý;AKP;Evli;3;Ankara;Eczacýlýk;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Hasan ÖZGÜNEÞ;ÞIRNAK;;Güneydoðu Anadolu;HDP;1957;63;Þýrnak;Öðretmen;AKP;Evli;5;Anadolu;.;Lisans;Kürtçe;;Erkek;;;;;;;;;;;
Hüseyin KAÇMAZ;ÞIRNAK;;Güneydoðu Anadolu;HDP;1986;34;Þýrnak;Avukat;HDP;Evli;1;Doðu Akdeniz;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Nuran ÝMÝR;ÞIRNAK;;Güneydoðu Anadolu;HDP;1977;43;Þýrnak;Muhasebeci;HADEP;?;?;.;Muhasebe ve Büro Yönetimi;Önlisans;Almanca, Kürtçe;;Kadýn;;;;;;;;;;;
Rizgin BÝRLÝK;ÞIRNAK;;Güneydoðu Anadolu;AK Parti;1966;54;Þýrnak;Memur;AKP;Evli;4;0;0;Ortaokul;Kürtçe;;Erkek;;;;;;;;;;;
Candan YÜCEER;TEKÝRDAÐ;;Marmara;CHP;1973;47;Ankara;Doktor;CHP;Evli;2;Gazi;Týp;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Çiðdem KONCAGÜL;TEKÝRDAÐ;;Marmara;AK Parti;1969;51;Tekirdað;Ýþinsaný;AKP;Evli;2;Anadolu;Sosyoloji;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Enez KAPLAN;TEKÝRDAÐ;;Marmara;ÝYÝ Parti;1962;58;Tekirdað;Ýþinsaný;MHP;Evli;2;0;0;Lise;0;;Erkek;;;;;;;;;;;
Faik ÖZTRAK;TEKÝRDAÐ;;Marmara;CHP;1954;66;Ankara;Bürokrat;CHP;Evli;1;Ankara;Maliye;Yükseklisans;Fransýzca, Ýngilizce;;Erkek;;;;;;;;;;;
Ýlhami Özcan AYGUN;TEKÝRDAÐ;;Marmara;CHP;1969;51;Edirne;Mühendis;CHP;Evli;2;Trakya;Ziraat Mühendisliði;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mustafa ÞENTOP;TEKÝRDAÐ;;Marmara;AK Parti;1968;52;Tekirdað;Akademisyen;AKP;Evli;4;Ýstanbul Üniversitesi;Hukuk;Doktora;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Mustafa YEL;TEKÝRDAÐ;;Marmara;AK Parti;1968;52;Tekirdað;Bürokrat;AKP;Evli;2;Ýstanbul Üniversitesi;Kamu Yönetimi;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Kadim DURMAZ;TOKAT;;Karadeniz;CHP;1953;67;Tokat;Ýþinsaný;SODEP;Evli;3;0;0;Lise;0;;Erkek;;;;;;;;;;;
Mustafa ARSLAN;TOKAT;;Karadeniz;AK Parti;1968;52;Tokat;Avukat;AKP;Evli;3;Selçuk;Hukuk;Lisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Özlem ZENGÝN;TOKAT;;Karadeniz;AK Parti;1969;51;Tokat;Avukat;AKP;Evli;3;Ýstanbul Üniversitesi;Hukuk;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Yusuf BEYAZIT;TOKAT;;Karadeniz;AK Parti;1962;58;Tokat;Avukat;AKP;Evli;3;Ankara;Hukuk;Yükseklisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Yücel BULUT;TOKAT;;Karadeniz;MHP;1980;40;Samsun;Avukat;MHP;Evli;0;Ankara;Hukuk;Lisans;0;;Erkek;;;;;;;;;;;
Adnan GÜNNAR;TRABZON;;Karadeniz;AK Parti;1966;54;Trabzon;Diþ Hekimi;AKP;Evli;0;Atatürk;Diþ Hekimliði;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet KAYA;TRABZON;;Karadeniz;CHP;1971;49;Trabzon;Mühendis;SHP;Evli;2;KTÜ;Makine Mühendisliði;Lisans;0;;Erkek;;;;;;;;;;;
Bahar AYVAZOÐLU;TRABZON;;Karadeniz;AK Parti;1976;44;Trabzon;Ýktisatçý;AKP;Evli;2;KTÜ;Ekonometri;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Hüseyin ÖRS;TRABZON;;Karadeniz;ÝYÝ Parti;1964;56;Trabzon;Akademisyen;MHP;Evli;1;KTÜ;Matematik;Doktora;0;;Erkek;;;;;;;;;;;
Muhammet BALTA;TRABZON;;Karadeniz;AK Parti;1966;54;Trabzon;Mühendis;AKP;Evli;2;Hacettepe;Maden Mühendisliði;Lisans;0;;Erkek;;;;;;;;;;;
Salih CORA;TRABZON;;Karadeniz;AK Parti;1981;39;Trabzon;Avukat;AKP;Evli;3;Selçuk;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Alican ÖNLÜ;TUNCELÝ;;Doðu Anadolu;HDP;1967;53;Tunceli;Siyasetçi;HADEP;Evli;2;0;0;Lise;0;;Erkek;;;;;;;;;;;
Polat ÞAROÐLU;TUNCELÝ;;Doðu Anadolu;CHP;1969;51;Tunceli;Ýþinsaný;CHP;Evli;2;Gazi;Kamu Yönetimi;Lisans;0;;Erkek;;;;;;;;;;;
Ýsmail GÜNEÞ;UÞAK;;Ege;AK Parti;1967;53;Uþak;Doktor;AKP;Evli;2;Çukurova;Týp;Yükseklisans;Ýngilizce;;Erkek;Týp uzmanlaþmasý yükseklisans kabul edildi.;;;;;;;;;;
Mehmet ALTAY;UÞAK;;Ege;AK Parti;1972;48;Uþak;Avukat;AKP;Evli;2;Ýstanbul Üniversitesi;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Özkan YALIM;UÞAK;;Ege;CHP;1969;51;Uþak;Ýþinsaný;CHP;Evli;3;0;0;Lise;Bulgarca, Fransýzca;;Erkek;;;;;;;;;;;
Abdulahat ARVAS;VAN;;Doðu Anadolu;AK Parti;1969;51;Van;Ýþinsaný;AKP;Evli;4;0;0;Lise;Arapça, Farsça, Kürtçe;;Erkek;;;;;;;;;;;
Ýrfan KARTAL;VAN;;Doðu Anadolu;AK Parti;1949;71;Van;Mühendis;AKP;Evli;2;Ankara;Ýnþaat Mühendisliði;Lisans;Kürtçe;;Erkek;;;;;;;;;;;
Muazzez ORHAN IÞIK;VAN;;Doðu Anadolu;HDP;1972;48;Van;Memur;HDP;?;?;Yüzüncü Yýl;Ýþletme;Lisans;Kürtçe;;Kadýn;;;;;;;;;;;
Murat SARISAÇ;VAN;;Doðu Anadolu;HDP;1983;37;Van;Siyasetçi;DBP;Bekar;0;Aksaray;Siyaset Bilimi ve Kamu Yönetimi;Lisans;Kürtçe;;Erkek;;;;;;;;;;;
Osman Nuri GÜLAÇAR;VAN;;Doðu Anadolu;AK Parti;1965;55;Van;Din adamý;AKP;Evli;3;Anadolu;Ýktisat;Lisans;Arapça, Kürtçe;;Erkek;;;;;;;;;;;
Sezai TEMELLÝ;VAN;;Doðu Anadolu;HDP;1963;57;Ýstanbul;Akademisyen;HDP;Evli;1;Ýstanbul;Maliye;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Tayip TEMEL;VAN;;Doðu Anadolu;HDP;1982;38;Hakkari;Gazeteci;HDP;Bekar;0;0;0;Lise;Kürtçe;;Erkek;;;;;;;;;;;
Ahmet BÜYÜKGÜMÜÞ;YALOVA;;Marmara;AK Parti;1990;30;Ýstanbul;Akademisyen;AKP;Evli;0;Galatasaray;Siyaset Bilimi;Doktora;Fransýzca, Ýngilizce;;Erkek;;;;;;;;;;;
Meliha AKYOL;YALOVA;;Marmara;AK Parti;1960;60;Ýstanbul;Siyasetçi;AKP;Evli;2;0;0;Lise;Ýngilizce;;Kadýn;;;;;;;;;;;
Özcan ÖZEL;YALOVA;;Marmara;CHP;1959;61;Kocaeli;Öðretmen;CHP;Evli;2;Bursa Eðitim Enstitüsü;Matematik Öðretmenliði;Lisans;0;;Erkek;;;;;;;;;;;
Bekir BOZDAÐ;YOZGAT;;Ýç Anadolu;AK Parti;1965;55;Yozgat;Avukat;FP;Evli;3;Uludað;Ýlahiyat;Yükseklisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Yusuf BAÞER;YOZGAT;;Ýç Anadolu;AK Parti;1965;55;Yozgat;Avukat;AKP;Evli;2;Ýstanbul Üniversitesi;Hukuk;Lisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Ali KEVEN;YOZGAT;;Ýç Anadolu;CHP;1951;69;Yozgat;Öðretmen;SHP;Evli;1;Gazi;BESYÖ;Lisans;0;;Erkek;;;;;;;;;;;
Ýbrahim Ethem SEDEF;YOZGAT;;Ýç Anadolu;MHP;1980;40;Yozgat;Siyasetçi;MHP;Evli;0;Anadolu;Ýktisat;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet ÇOLAKOÐLU;ZONGULDAK;;Karadeniz;AK Parti;1978;42;Zonguldak;Ýþinsaný;AKP;Evli;3;Anadolu;Kamu Yönetimi;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ünal DEMÝRTAÞ;ZONGULDAK;;Karadeniz;CHP;1971;49;Zonguldak;Avukat;CHP;Evli;1;Ankara;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Polat TÜRKMEN;ZONGULDAK;;Karadeniz;AK Parti;1951;69;Trabzon;Mühendis;CHP;Evli;0;Hacettepe;Maden Müendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Hamdi UÇAR;ZONGULDAK;;Karadeniz;AK Parti;1963;57;Zonguldak;Ýþinsaný;AKP;Evli;2;Anadolu;Ýþletme;Lisans;0;;Erkek;;;;;;;;;;;
Deniz YAVUZYILMAZ;ZONGULDAK;;Karadeniz;CHP;1979;41;Zonguldak;Ýþinsaný;CHP;Evli;0;YTÜ;Elektrik Elektronik Mühendisliði;Lisans;Almanca, Fransýzca, Ýngilizce;;Erkek;;;;;;;;;;;
